wavelength,Intensity
353.174,-1.88434
353.407,-1.18055
353.64,-1.44843
353.874,-1.28867
354.107,-0.908
354.34,-1.11583
354.573,-0.57659
354.806,-0.39996
355.039,-0.3768
355.272,-0.13175
355.505,0.09503
355.738,0.30368
355.971,0.17691
356.204,0.16199
356.437,0.42606
356.67,0.31951
356.903,0.10661
357.136,0.20364
357.369,0.60492
357.602,0.65565
357.835,0.84853
358.068,0.97553
358.301,0.82738
358.534,1.42174
358.766,1.73108
358.999,1.492
359.232,1.81214
359.465,1.37992
359.698,1.37961
359.931,1.44046
360.163,1.41456
360.396,1.11482
360.629,0.6786
360.862,1.1255
361.094,1.07009
361.327,0.89719
361.56,0.89739
361.793,1.26815
362.025,1.65363
362.258,1.74449
362.491,1.40469
362.723,1.42984
362.956,1.16111
363.189,0.71985
363.421,0.35958
363.654,-0.09188
363.886,-0.39105
364.119,-0.4722
364.352,-0.34034
364.584,-0.78157
364.817,-0.6193
365.049,-0.93375
365.282,-0.74104
365.514,-0.59906
365.747,-0.64977
365.979,-0.57376
366.212,-0.60924
366.444,-0.39117
366.677,-0.35566
366.909,-0.80699
367.141,-0.84738
367.374,-0.45691
367.606,-0.36043
367.839,-0.07144
368.071,0.24294
368.303,0.21251
368.536,0.42045
368.768,0.59789
369.0,0.187
369.233,0.51166
369.465,0.9529
369.697,1.12539
369.93,1.49569
370.162,1.61236
370.394,2.05364
370.626,2.29204
370.859,2.54058
371.091,2.45436
371.323,2.30727
371.555,2.3022
371.787,2.68769
372.02,2.30725
372.252,2.70797
372.484,2.65721
372.716,2.713
372.948,2.81952
373.18,2.90067
373.412,3.00717
373.644,3.34194
373.876,3.68689
374.108,3.21516
374.34,3.34702
374.573,3.05285
374.805,3.18982
375.037,2.921
375.269,2.84998
375.501,2.99206
375.732,2.83482
375.964,2.7283
376.196,2.79424
376.428,2.74859
376.66,2.92107
376.892,2.916
377.124,2.44427
377.356,2.11458
377.588,1.6936
377.82,1.8914
378.051,2.14501
378.283,1.91169
378.515,1.66316
378.747,2.11961
378.979,2.05874
379.21,1.99789
379.442,1.82037
379.674,1.66815
379.906,1.4196
380.137,1.56164
380.369,0.79569
380.601,0.66382
380.833,0.75005
381.064,1.24704
381.296,1.74913
381.528,1.20639
381.759,0.98834
381.991,1.17598
382.222,1.73389
382.454,2.49973
382.686,2.16497
382.917,2.08886
383.149,2.33737
383.38,2.71776
383.612,2.22073
383.843,2.30696
384.075,1.95191
384.306,1.9164
384.538,1.89612
384.769,2.40335
385.001,2.59604
385.232,2.57576
385.464,2.85472
385.695,2.86487
385.927,2.20556
386.158,2.0585
386.389,2.42367
386.621,2.63158
386.852,2.45915
387.083,2.07876
387.315,1.81505
387.546,2.16498
387.777,1.62233
388.009,1.31296
388.24,1.22673
388.471,1.46002
388.703,1.43466
388.934,1.60204
389.165,2.30702
389.396,2.56564
389.627,2.3526
389.859,2.13959
390.09,2.65183
390.321,2.49967
390.552,2.5301
390.783,3.04744
391.014,2.85978
391.246,2.67212
391.477,2.89527
391.708,2.79891
391.939,2.66197
392.17,2.36272
392.401,2.02293
392.632,2.15986
392.863,2.40329
393.094,2.27143
393.325,2.04828
393.556,1.82513
393.787,1.886
394.018,1.06435
394.249,0.99336
394.48,1.39402
394.711,1.181
394.942,1.0035
395.173,1.12015
395.404,1.60195
395.634,1.08969
395.865,1.30775
396.096,1.27225
396.327,1.26212
396.558,1.21649
396.789,1.13533
397.02,1.88598
397.25,1.87077
397.481,1.85045
397.712,1.82511
397.943,1.90121
398.173,2.10406
398.404,2.48444
398.635,2.55543
398.865,2.70254
399.096,1.90626
399.327,1.93672
399.558,2.06858
399.788,1.85556
400.019,1.9418
400.249,1.57158
400.48,2.02802
400.711,1.46002
400.941,1.34843
401.172,1.50054
401.402,1.64254
401.633,1.90627
401.863,1.25199
402.094,0.8716
402.324,0.95784
402.555,0.97812
402.785,0.54193
403.016,0.21733
403.246,0.26295
403.477,0.38471
403.707,0.51657
403.938,1.05926
404.168,0.83607
404.398,0.43544
404.629,1.00342
404.859,1.23161
405.09,1.15046
405.32,0.99832
405.55,1.62211
405.781,1.43958
406.011,1.14546
406.241,1.06939
406.471,1.02881
406.702,0.98823
406.932,1.09981
407.162,1.1404
407.392,1.20126
407.623,1.64249
407.853,1.9671
408.083,2.10913
408.313,1.99246
408.543,1.84539
408.774,1.79975
409.004,1.47011
409.234,1.83524
409.464,1.53099
409.694,1.68821
409.924,1.89614
410.154,1.73892
410.384,1.57158
410.614,2.2004
410.844,2.1649
411.074,2.70245
411.304,2.78359
411.534,3.08279
411.764,3.11325
411.994,3.25526
412.224,2.73286
412.454,2.46914
412.684,2.55535
412.914,2.47927
413.144,1.94679
413.374,2.15471
413.604,2.12935
413.834,2.25107
414.063,2.4134
414.293,2.48949
414.523,1.96205
414.753,1.48026
414.983,1.25713
415.212,0.89704
415.442,0.60798
415.672,0.58263
415.902,0.26317
416.131,0.36463
416.361,0.46102
416.591,0.68922
416.821,0.92252
417.05,1.19642
417.28,1.56657
417.51,1.54122
417.739,1.44993
417.969,1.75926
418.198,1.87084
418.428,1.82519
418.658,1.83533
418.887,1.80484
419.117,1.44981
419.346,1.31796
419.576,1.76931
419.805,2.53003
420.035,2.83939
420.264,2.88503
420.494,2.93575
420.723,2.62637
420.953,2.51982
421.182,2.1851
421.412,2.06339
421.641,1.68302
421.871,2.01265
422.1,1.50051
422.329,1.31793
422.559,0.86145
422.788,1.06938
423.017,1.35336
423.247,1.75909
423.476,1.58157
423.705,1.46495
423.935,1.83013
424.164,2.1699
424.393,2.42343
424.622,1.78949
424.852,1.4497
425.081,1.86555
425.31,1.95177
425.539,2.58059
425.768,2.60089
425.998,2.15964
426.227,2.22555
426.456,2.26612
426.685,2.12921
426.914,2.01248
427.143,1.86033
427.372,2.24074
427.601,2.25598
427.831,1.68798
428.06,1.40395
428.289,1.9567
428.518,2.12404
428.747,1.97695
428.976,2.03782
429.205,1.47998
429.434,1.72341
429.663,1.56619
429.892,1.21631
430.12,1.15545
430.349,0.64327
430.578,0.37448
430.807,0.54694
431.036,0.6433
431.265,0.45561
431.494,0.52663
431.723,0.71435
431.951,1.17585
432.18,1.2418
432.409,1.2367
432.638,1.29757
432.867,1.48521
433.095,1.15054
433.324,1.07954
433.553,1.19618
433.782,0.99333
434.01,1.19111
434.239,0.81582
434.468,1.18603
434.696,1.01357
434.925,1.17078
435.154,1.69316
435.382,1.69316
435.611,1.72358
435.839,1.6323
436.068,1.99242
436.297,2.18509
436.525,2.87989
436.754,3.05739
436.982,2.92552
437.211,2.98638
437.439,2.91031
437.668,2.54518
437.896,2.50969
438.125,2.40828
438.353,2.33728
438.582,2.72271
438.81,2.79881
439.039,2.90531
439.267,3.16902
439.495,3.47332
439.724,3.4429
439.952,2.92052
440.18,3.03716
440.409,3.28566
440.637,3.30087
440.865,3.48345
441.094,2.82418
441.322,2.38804
441.55,1.82004
441.778,1.77948
442.007,1.50055
442.235,1.64254
442.463,1.81499
442.691,2.12944
442.92,2.28665
443.148,2.25117
443.376,1.85052
443.604,1.68314
443.832,1.63748
444.06,1.43463
444.288,1.19119
444.516,0.63843
444.745,0.70944
444.973,1.0341
445.201,0.78054
445.429,0.74504
445.657,0.68923
445.885,0.46609
446.113,0.52694
446.341,0.49651
446.569,0.70949
446.797,0.83628
447.025,1.00873
447.253,1.14566
447.481,1.05436
447.708,0.76021
447.936,1.24198
448.164,1.40425
448.392,1.56147
448.62,2.00779
448.848,2.12444
449.076,2.08387
449.303,2.41855
449.531,2.48955
449.759,2.67196
449.987,3.1892
450.214,3.12326
450.442,2.78856
450.67,3.45291
450.898,3.56451
451.125,3.9753
451.353,4.08685
451.581,4.64483
451.808,4.79186
452.036,4.7969
452.264,4.949
452.491,5.21779
452.719,5.07577
452.947,4.9287
453.174,5.11636
453.402,5.47633
453.629,5.31404
453.857,5.71974
454.084,6.25225
454.312,6.73398
454.539,6.36384
454.767,6.01902
454.994,6.40953
455.222,6.50082
455.449,6.65804
455.677,6.80508
455.904,7.32238
456.131,7.53544
456.359,7.42372
456.586,7.55558
456.814,7.71274
457.041,7.50991
457.268,7.54032
457.496,7.33242
457.723,7.74823
457.95,7.65186
458.178,7.42371
458.405,8.03723
458.632,8.16396
458.859,8.09288
459.087,7.66183
459.314,8.28041
459.541,8.74184
459.768,8.90407
459.995,9.27419
460.222,9.36541
460.45,9.37045
460.677,9.51734
460.904,9.43611
461.131,9.88739
461.358,9.89751
461.585,10.04967
461.812,10.27282
462.039,10.98273
462.266,11.36314
462.493,11.13494
462.72,11.4797
462.947,11.42892
463.174,11.37307
463.401,11.42887
463.628,12.16923
463.855,12.66113
464.082,12.72193
464.309,12.97038
464.536,13.85272
464.763,14.10627
464.99,14.61331
465.217,14.83134
465.443,14.91262
465.67,15.3842
465.897,15.31323
466.124,15.63265
466.351,15.98757
466.577,16.41354
466.804,16.11436
467.031,16.99151
467.258,17.85337
467.484,18.45664
467.711,18.6646
467.938,18.37564
468.165,18.48708
468.391,18.35522
468.618,18.25366
468.844,18.27387
469.071,18.90254
469.298,18.68426
469.524,19.50569
469.751,19.43972
469.977,19.70326
470.204,19.64727
470.431,19.78914
470.657,20.03235
470.884,19.99172
471.11,20.18436
471.337,20.58994
471.563,21.02597
471.79,20.33113
472.016,20.18427
472.242,20.174
472.469,20.48831
472.695,21.47686
472.922,22.42501
473.148,22.91163
473.374,23.73786
473.601,24.0776
473.827,24.46295
474.053,24.74204
474.28,24.46811
474.506,25.1677
474.732,25.66949
474.959,25.52247
475.185,26.13087
475.411,26.83542
475.637,27.51467
475.864,27.64622
476.09,27.5243
476.316,27.50374
476.542,27.93975
476.768,28.06123
476.994,28.47696
477.221,29.33373
477.447,29.52124
477.673,29.12563
477.899,29.46489
478.125,29.86035
478.351,30.16442
478.577,30.3568
478.803,30.61999
479.029,31.30436
479.255,31.46132
479.481,32.01892
479.707,33.32136
479.933,33.51865
480.159,33.69596
480.385,34.33405
480.611,35.16514
480.837,36.16359
481.063,37.56226
481.288,38.46426
481.514,39.32046
481.74,40.2983
481.966,41.0024
482.192,41.51906
482.418,42.78074
482.643,43.06455
482.869,43.45943
483.095,44.03693
483.321,44.64964
483.547,45.07013
483.772,45.61206
483.998,46.27059
484.224,46.66558
484.449,46.79199
484.675,47.42529
484.901,48.04312
485.126,48.27129
485.352,48.48405
485.578,48.72166
485.803,49.1875
486.029,49.46099
486.254,50.11469
486.48,50.19519
486.705,50.52379
486.931,51.54221
487.156,52.00798
487.382,52.48903
487.607,53.52792
487.833,53.94815
488.058,54.41918
488.284,55.15893
488.509,55.65515
488.735,56.27295
488.96,57.15438
489.186,57.83299
489.411,58.67814
489.636,59.05265
489.862,58.91557
490.087,59.30589
490.312,60.03029
490.538,60.41008
490.763,61.14954
490.988,61.83326
491.213,62.1625
491.439,62.2536
491.664,62.19266
491.889,62.30938
492.114,62.83623
492.34,62.77998
492.565,63.32695
492.79,63.69134
493.015,64.30391
493.24,64.62303
493.465,64.92242
493.69,64.93205
493.915,65.31181
494.141,65.06377
494.366,65.51954
494.591,66.20337
494.816,66.77498
495.041,66.95758
495.266,66.99263
495.491,67.34147
495.716,67.16881
495.941,67.62941
496.166,67.90312
496.391,68.10556
496.616,68.0492
496.84,68.31228
497.065,68.39283
497.29,68.30173
497.515,68.56519
497.74,68.70174
497.965,68.78765
498.19,68.66521
498.414,68.74621
498.639,68.92871
498.864,69.17207
499.089,69.14651
499.314,69.86066
499.538,70.01772
499.763,69.87081
499.988,69.8151
500.212,69.9066
500.437,69.96274
500.662,70.18088
500.886,70.44393
501.111,70.42842
501.336,70.32228
501.56,70.29162
501.785,70.40858
502.01,70.90998
502.234,70.44458
502.459,70.15569
502.683,69.8309
502.908,70.07394
503.132,69.97783
503.357,70.1042
503.581,70.04334
503.806,69.93264
504.03,69.80573
504.255,69.59834
504.479,70.06959
504.703,70.34856
504.928,69.94319
505.152,70.11509
505.377,69.41604
505.601,69.27955
505.825,69.56347
506.05,70.06487
506.274,70.45498
506.498,70.27252
506.723,70.06991
506.947,70.86975
507.171,71.11818
507.395,71.20997
507.62,71.0986
507.844,71.28598
508.068,71.14436
508.292,71.34735
508.516,71.24002
508.741,71.2657
508.965,71.19985
509.189,71.00189
509.413,70.74845
509.637,71.07749
509.861,70.43953
510.085,70.43919
510.309,70.68269
510.533,70.71304
510.757,70.3789
510.981,70.14119
511.205,70.37459
511.429,70.51153
511.653,69.69063
511.877,69.24465
512.101,69.96387
512.325,69.85754
512.549,69.86713
512.773,69.50736
512.997,69.66945
513.221,69.66498
513.445,69.43689
513.668,69.60931
513.892,69.77161
514.116,69.78713
514.34,69.91999
514.564,70.44662
514.787,70.39117
515.011,70.20338
515.235,70.0314
515.459,70.18342
515.682,69.88418
515.906,69.31135
516.13,68.80432
516.353,69.26
516.577,69.33615
516.801,69.41675
517.024,69.26495
517.248,69.11322
517.472,69.4021
517.695,69.24975
517.919,69.11825
518.142,69.41758
518.366,69.51362
518.589,69.28561
518.813,69.30099
519.036,68.75839
519.26,68.86504
519.483,69.30073
519.707,69.44289
519.93,68.97669
520.154,69.02754
520.377,69.06858
520.6,69.28639
520.824,69.33734
521.047,68.79101
521.271,68.43641
521.494,67.91012
521.717,67.90535
521.941,67.69277
522.164,67.30805
522.387,67.22224
522.61,67.35409
522.834,66.85746
523.057,66.42131
523.28,66.37575
523.503,66.56808
523.726,66.3756
523.95,66.0107
524.173,65.38784
524.396,64.61763
524.619,64.50619
524.842,64.29332
525.065,64.18658
525.288,64.08034
525.511,64.04543
525.735,63.84307
525.958,63.85378
526.181,63.43892
526.404,63.1606
526.627,63.01937
526.85,62.94883
527.073,62.0978
527.296,61.66246
527.519,60.96354
527.741,61.14191
527.964,60.47319
528.187,59.77438
528.41,60.10442
528.633,59.82091
528.856,59.70487
529.079,59.7357
529.302,59.52339
529.524,59.08278
529.747,58.52123
529.97,57.91367
530.193,57.42698
530.416,56.99109
530.638,56.85962
530.861,56.14524
531.084,55.73974
531.306,55.43078
531.529,55.04571
531.752,54.5243
531.974,54.12898
532.197,54.01811
532.42,53.13122
532.642,52.87304
532.865,52.19424
533.087,51.06915
533.31,50.71504
533.533,50.34996
533.755,49.8941
533.978,49.57498
534.2,49.09408
534.423,48.83569
534.645,48.36959
534.868,48.31441
535.09,47.82806
535.312,47.42262
535.535,47.28613
535.757,46.95208
535.98,46.37481
536.202,45.90855
536.424,46.19251
536.647,45.61487
536.869,45.40676
537.091,45.08743
537.314,44.72303
537.536,44.39372
537.758,44.45996
537.981,43.95835
538.203,43.54827
538.425,43.22398
538.647,43.22915
538.869,42.82867
539.092,42.13465
539.314,42.10457
539.536,41.48633
539.758,41.43072
539.98,41.1524
540.202,40.69604
540.424,40.37153
540.647,40.28032
540.869,40.3064
541.091,39.52585
541.313,39.45007
541.535,39.03995
541.757,38.77201
541.979,37.97617
542.201,37.54549
542.423,37.3175
542.645,36.67386
542.867,36.56249
543.088,36.23828
543.31,35.48837
543.532,35.34175
543.754,35.21504
543.976,35.11381
544.198,34.75919
544.42,34.25738
544.641,33.74028
544.863,33.36017
545.085,32.80276
545.307,32.22492
545.529,31.26657
545.75,31.46953
545.972,31.47997
546.194,31.08465
546.415,30.41044
546.637,30.57275
546.859,30.41553
547.08,29.95917
547.302,30.09603
547.524,29.66521
547.745,29.48796
547.967,29.18884
548.189,29.10283
548.41,28.75799
548.632,28.1648
548.853,28.33714
549.075,28.12453
549.296,27.85595
549.518,27.79528
549.739,27.77011
549.961,27.62821
550.182,27.15167
550.403,26.91857
550.625,26.67018
550.846,26.54338
551.068,26.45207
551.289,25.9856
551.51,25.46859
551.732,25.05314
551.953,24.37369
552.174,24.11519
552.396,23.76554
552.617,23.62361
552.838,23.16205
553.059,23.20777
553.281,22.9797
553.502,22.39672
553.723,22.01632
