wavelength,Intensity
353.174,-5.10247
353.407,-5.51991
353.64,-5.73943
353.874,-6.39727
354.107,-6.04683
354.34,-6.02251
354.573,-6.31406
354.806,-6.08084
355.039,-5.68244
355.272,-4.50671
355.505,-2.43709
355.738,0.7689
355.971,3.21718
356.204,6.70423
356.437,10.90043
356.67,14.77515
356.903,19.34892
357.136,24.59192
357.369,29.49445
357.602,34.7458
357.835,40.80092
358.068,46.25397
358.301,51.87957
358.534,57.603
358.766,62.66536
358.999,67.89186
359.232,72.86562
359.465,77.81925
359.698,83.02331
359.931,87.2684
360.163,92.05494
360.396,95.34872
360.629,99.12669
360.862,101.85788
361.094,104.81209
361.327,107.7368
361.56,110.20614
361.793,112.48171
362.025,114.50531
362.258,115.25075
362.491,117.2742
362.723,118.07765
362.956,118.69724
363.189,119.95549
363.421,121.10726
363.654,121.47512
363.886,121.36864
364.119,123.47807
364.352,123.72005
364.584,123.25542
364.817,123.87487
365.049,123.54579
365.282,123.23605
365.514,123.28445
365.747,122.40373
365.979,121.22292
366.212,121.02932
366.444,120.77762
366.677,118.89082
366.909,118.29067
367.141,118.1261
367.374,117.34209
367.606,116.60637
367.839,116.36436
368.071,116.38372
368.303,115.7448
368.536,115.8416
368.768,115.42531
369.0,115.02837
369.233,113.84731
369.465,113.15022
369.697,113.33415
369.93,113.25671
370.162,113.69235
370.394,113.3051
370.626,112.87916
370.859,112.93725
371.091,112.83076
371.323,113.45033
371.555,113.84727
371.787,114.09902
372.02,114.67026
372.252,114.17651
372.484,114.26364
372.716,114.4282
372.948,115.09617
373.18,114.99936
373.412,115.15426
373.644,115.19298
373.876,114.82512
374.108,114.84448
374.34,114.77671
374.573,114.98969
374.805,115.11555
375.037,114.50562
375.269,113.98287
375.501,113.69247
375.732,113.44073
375.964,113.21806
376.196,113.02444
376.428,113.38262
376.66,113.17931
376.892,113.35359
377.124,113.66335
377.356,113.87634
377.588,114.42818
377.82,114.53467
378.051,115.01867
378.283,115.66732
378.515,115.84159
378.747,115.79318
378.979,116.14163
379.21,116.52887
379.442,117.40976
379.674,116.80958
379.906,116.92575
380.137,116.85798
380.369,117.09032
380.601,117.16775
380.833,116.9935
381.064,117.77757
381.296,117.84534
381.528,118.24214
381.759,118.91968
381.991,118.98743
382.222,119.84895
382.454,120.52652
382.686,121.14602
382.917,122.47194
383.149,122.28804
383.38,123.55597
383.612,124.20437
383.843,125.15298
384.075,125.56908
384.306,125.95617
384.538,126.41103
384.769,126.06258
385.001,126.33357
385.232,127.18518
385.464,127.09809
385.695,127.92073
385.927,128.15297
386.158,128.25941
386.389,128.91745
386.621,128.56909
386.852,128.86905
387.083,129.77856
387.315,131.11407
387.546,132.06232
387.777,132.60413
388.009,133.3201
388.24,133.9587
388.471,134.51018
388.703,136.42548
388.934,138.17634
389.165,139.87907
389.396,141.38813
389.627,142.31671
389.859,144.33821
390.09,145.81806
390.321,147.2592
390.552,149.30944
390.783,151.38881
391.014,154.08677
391.246,155.78827
391.477,157.4125
391.708,159.38494
391.939,161.21224
392.17,162.98159
392.401,164.48961
392.632,166.53896
392.863,168.86854
393.094,170.21207
393.325,171.96154
393.556,174.01973
393.787,175.43051
394.018,176.96696
394.249,179.15069
394.48,181.41162
394.711,183.4891
394.942,185.17994
395.173,187.21833
395.404,188.87989
395.634,191.22731
395.865,193.83526
396.096,194.94595
396.327,197.60158
396.558,199.82284
396.789,202.03406
397.02,203.49221
397.25,205.89657
397.481,208.00165
397.712,210.20285
397.943,212.39445
398.173,215.22266
398.404,217.50052
398.635,220.52165
398.865,222.12367
399.096,224.3145
399.327,226.30239
399.558,229.34217
399.788,232.32351
400.019,235.00607
400.249,237.33122
400.48,239.83968
400.711,242.3956
400.941,245.15403
401.172,247.26627
401.402,250.35239
401.633,253.58301
401.863,256.41812
402.094,258.92514
402.324,261.31608
402.555,264.30497
402.785,267.16827
403.016,270.22423
403.246,272.89392
403.477,275.12994
403.707,278.93651
403.938,281.13373
404.168,284.15918
404.398,287.5699
404.629,291.23085
404.859,294.30396
405.09,298.34949
405.32,302.36586
405.55,305.90061
405.781,309.64646
406.011,314.40312
406.241,317.57065
406.471,321.74946
406.702,325.78277
406.932,329.24809
407.162,332.01069
407.392,336.24534
407.623,340.14227
407.853,343.712
408.083,348.13783
408.313,351.37036
408.543,353.65991
408.774,357.86321
409.004,362.28742
409.234,367.63307
409.464,371.87388
409.694,377.47007
409.924,381.22929
410.154,384.35368
410.384,388.43904
410.614,392.51414
410.844,397.10828
411.074,401.75069
411.304,405.24848
411.534,408.29451
411.764,410.58062
411.994,414.02002
412.224,415.94133
412.454,420.27314
412.684,424.10569
412.914,426.79501
413.144,430.88532
413.374,434.99461
413.604,438.91212
413.834,443.30906
414.063,446.59283
414.293,449.43435
414.523,453.07246
414.753,456.77813
414.983,458.22749
415.212,460.59828
415.442,464.40847
415.672,465.0994
415.902,466.94156
416.131,469.55127
416.361,471.41239
416.591,475.32664
416.821,477.96491
417.05,480.43979
417.28,482.4545
417.51,485.61072
417.739,489.15015
417.969,492.84205
418.198,496.84162
418.428,500.56202
418.658,504.27249
418.887,506.5355
419.117,509.55521
419.346,513.33245
419.576,517.94289
419.805,522.19004
420.035,525.65072
420.264,529.81013
420.494,532.97227
420.723,537.49517
420.953,539.47879
421.182,542.74578
421.412,548.25487
421.641,551.25348
421.871,554.501
422.1,557.28808
422.329,561.40692
422.559,566.40652
422.788,571.04085
423.017,575.71318
423.247,579.23655
423.476,584.53178
423.705,590.24612
423.935,593.11794
424.164,598.40172
424.393,606.0283
424.622,611.38732
424.852,618.67787
425.081,624.52348
425.31,629.52641
425.539,635.02614
425.768,642.09417
425.998,648.08166
426.227,653.78005
426.456,660.97159
426.685,668.42851
426.914,673.05446
427.143,679.10536
427.372,684.07468
427.601,689.53167
427.831,694.53937
428.06,698.94456
428.289,704.95309
428.518,711.84084
428.747,717.06541
428.976,722.8823
429.205,730.16679
429.434,737.53728
429.663,744.07767
429.892,750.06353
430.12,757.19435
430.349,766.44283
430.578,773.9646
430.807,778.77439
431.036,783.41237
431.265,788.49853
431.494,793.4987
431.723,799.10612
431.951,804.04628
432.18,810.1121
432.409,816.4158
432.638,822.51819
432.867,827.15119
433.095,831.45174
433.324,836.16223
433.553,841.30166
433.782,847.41255
434.01,855.32394
434.239,858.96402
434.468,864.27156
434.696,867.43553
434.925,871.52317
435.154,875.58163
435.382,879.00166
435.611,884.23253
435.839,888.93932
436.068,893.38865
436.297,897.15125
436.525,898.24659
436.754,901.14186
436.982,904.56978
437.211,907.57974
437.439,912.14058
437.668,914.36874
437.896,918.49122
438.125,919.49115
438.353,924.94614
438.582,930.53423
438.81,933.17145
439.039,937.95059
439.267,942.51933
439.495,943.0048
439.724,948.85863
439.952,951.58022
440.18,953.99792
440.409,957.65163
440.637,964.92251
440.865,968.37586
441.094,972.32358
441.322,977.01453
441.55,982.75044
441.778,987.00214
442.007,995.64872
442.235,1000.28037
442.463,1005.34934
442.691,1013.30035
442.92,1018.7295
443.148,1024.94699
443.376,1031.53463
443.604,1037.42795
443.832,1046.51471
444.06,1053.13848
444.288,1058.74608
444.516,1065.87159
444.745,1073.98571
444.973,1084.27328
445.201,1093.5436
445.429,1101.25651
445.657,1109.67027
445.885,1118.03557
446.113,1126.8183
446.341,1135.62703
446.569,1143.80025
446.797,1156.58503
