lambda,0,30,60,90,120,150
353.174,1.57955,0.28068,0.13068,-0.32159,-0.7875,0.56591
353.407,1.54167,-0.15417,-0.2875,-0.7875,-0.9875,-0.05833
353.64,1.50962,0.12404,0.05865,-0.62788,-0.49519,0.22885
353.874,1.225,0.4625,0.28393,-0.2625,-0.23036,0.28929
354.107,1.15167,0.56917,0.60583,0.03417,0.12583,0.54167
354.34,0.9625,0.3,0.6125,0.09375,0.4,0.43125
354.573,0.77206,0.55074,0.75368,0.14044,0.34779,0.54559
354.806,0.58056,0.65139,0.72361,0.15417,0.42361,0.65278
355.039,0.19868,0.2625,0.59671,0.05066,0.28092,0.30132
355.272,-0.255,0.0275,0.2275,-0.0725,0.1925,0.175
355.505,-0.475,-0.1994,-0.17321,-0.26488,-0.06845,0.07976
355.738,-0.77976,-0.4994,-0.59226,-0.1125,-0.32083,-0.20595
355.971,-1.02738,-0.90417,-1.20655,-0.30774,-0.52083,-0.63452
356.204,-1.49881,-1.55179,-1.83988,-0.58869,-1.21607,-1.20119
356.437,-1.35595,-1.80417,-1.63988,-0.51726,-1.11131,-0.98214
356.67,-1.3131,-2.08988,-1.56369,-0.36964,-1.03036,-1.1869
356.903,-1.22738,-1.5375,-1.41607,0.10655,-0.50655,-0.94405
357.136,-1.62262,-2.02321,-1.63988,-0.0506,-0.65893,-1.09167
357.369,-1.975,-2.18036,-1.72083,-0.13155,-1.0494,-1.425
357.602,-1.99405,-2.40417,-1.65417,-0.3744,-1.16369,-1.59643
357.835,-1.975,-2.47083,-1.51607,-0.1744,-1.12083,-1.59643
358.068,-1.975,-2.2375,-1.08274,0.1256,-0.90179,-1.07262
358.301,-2.075,-1.98036,-0.57798,0.59702,-0.72083,-0.83929
358.534,-2.3369,-2.16607,-1.0256,0.27321,-1.04464,-1.23929
358.766,-2.36071,-2.38988,-1.00179,0.01607,-1.2494,-1.57738
358.999,-2.24167,-2.38036,-1.20179,-0.25536,-1.27321,-1.48214
359.232,-2.40833,-2.22798,-1.30179,-0.25536,-1.55417,-1.63929
359.465,-2.65119,-2.44702,-1.25417,-0.28393,-1.74464,-2.11071
359.698,-2.46071,-2.37083,-0.95417,-0.29345,-1.65893,-2.17262
359.931,-2.14167,-2.10417,-0.64464,-0.12202,-1.43512,-2.00595
360.163,-1.64167,-2.1756,-0.07321,0.16369,-1.21607,-1.85833
360.396,-1.86071,-2.38036,0.16488,0.33512,-1.32083,-2.20119
360.629,-1.67976,-2.11845,0.47917,0.11131,-0.90179,-1.91071
360.862,-1.66071,-1.79464,0.79345,0.21131,-0.85417,-1.52024
361.094,-1.40833,-1.51845,0.88393,0.51607,-0.25417,-1.50595
361.327,-1.45119,-1.08036,0.96488,0.68274,0.03155,-1.57262
361.56,-1.69881,-0.8994,1.04107,1.10179,0.6744,-1.42024
361.793,-1.81786,-1.22798,0.78869,1.07798,0.16488,-1.625
362.025,-1.98929,-0.72321,0.46012,1.31607,0.80298,-1.17262
362.258,-2.18452,-0.83274,0.54107,1.1875,1.11726,-1.32024
362.491,-2.37976,-0.71369,0.58869,1.36369,1.19821,-1.1869
362.723,-2.60833,-0.7994,0.46964,1.26369,1.17917,-1.66786
362.956,-2.83214,-0.83274,0.50774,1.32083,0.98393,-1.81548
363.189,-2.8131,-0.68036,0.52202,1.1256,1.19345,-1.5631
363.421,-2.74643,-0.4756,0.86488,1.63988,1.42679,-1.24405
363.654,-2.75119,-0.56607,0.64107,1.69226,1.51726,-1.06786
363.886,-3.10357,-0.65655,0.7506,2.01607,1.38869,-1.425
364.119,-2.79881,-0.40417,0.99821,2.1875,1.62202,-1.18214
364.352,-2.2369,-0.26607,1.23155,2.50655,1.92202,-0.77262
364.584,-2.52262,-0.48512,0.78869,2.5494,1.70774,-0.83929
364.817,-2.63214,-0.0756,0.55536,2.71131,1.6125,-0.64881
365.049,-2.70833,-0.05179,0.02679,2.46845,1.42679,-0.83929
365.282,-2.55119,0.31964,-0.04464,2.57798,1.88393,-0.49167
365.514,-2.72262,0.08155,-0.10655,2.67798,1.70774,-0.82024
365.747,-2.52262,0.11012,-0.02083,3.03512,1.95536,-1.13929
365.979,-2.41786,0.59583,0.59821,3.16369,2.10774,-1.00595
366.212,-2.18452,0.71488,0.58393,2.98274,2.32679,-0.96786
366.444,-2.12738,0.7244,0.49821,2.8256,1.80298,-1.09643
366.677,-2.18929,0.48155,0.60774,2.55417,1.56488,-1.36786
366.909,-2.19405,0.10536,0.94583,2.5256,1.10774,-1.87262
367.141,-1.62262,0.62917,0.96488,2.89226,1.34107,-1.53452
367.374,-1.45119,0.79583,0.9506,3.16369,1.34583,-1.62024
367.606,-1.17976,1.07679,1.29345,3.44464,1.70298,-1.11071
