lambda,intensity
353.174,-5.03125
353.407,-4.36458
353.64,-3.76202
353.874,-3.13839
354.107,-2.36458
354.34,-1.55
354.573,-0.86066
354.806,0.20764
355.039,1.35822
355.272,2.60375
355.505,4.09256
355.738,5.73065
355.971,7.60208
356.204,9.82589
356.437,12.55923
356.67,15.69732
356.903,19.12589
357.136,22.84494
357.369,26.44494
357.602,30.34494
357.835,34.26875
358.068,37.9497
358.301,41.52113
358.534,45.60685
358.766,49.47827
358.999,53.50208
359.232,57.62113
359.465,61.50685
359.698,65.69732
359.931,69.1878
360.163,72.72113
360.396,75.91637
360.629,78.98304
360.862,81.75446
361.094,84.45923
361.327,86.69256
361.56,88.76875
361.793,90.82589
362.025,92.66399
362.258,94.55446
362.491,95.99732
362.723,97.20208
362.956,99.86399
363.189,101.15923
363.421,101.76399
363.654,102.29732
363.886,102.88304
364.119,102.97827
364.352,103.49256
364.584,103.12113
364.817,103.42113
365.049,103.24018
365.282,102.88304
365.514,102.6497
365.747,102.45923
365.979,101.88304
366.212,101.51637
366.444,101.43542
366.677,100.85923
366.909,100.72589
367.141,100.12589
367.374,99.8497
367.606,99.34494
367.839,97.74494
368.071,97.25923
368.303,96.61161
368.536,96.34494
368.768,95.6497
369.0,95.12113
369.233,94.78304
369.465,94.53065
369.697,94.12589
369.93,94.10685
370.162,93.8878
370.394,93.91637
370.626,93.9878
370.859,93.92589
371.091,94.02589
371.323,93.74018
371.555,93.67827
371.787,93.43542
372.02,93.44018
372.252,93.3497
372.484,93.31637
372.716,93.32113
372.948,93.29256
373.18,93.50208
373.412,93.62113
373.644,93.66399
373.876,93.93065
374.108,94.00685
374.34,93.99732
374.573,94.22113
374.805,94.09256
375.037,94.35446
375.269,94.21161
375.501,93.99256
375.732,94.18304
375.964,94.07351
376.196,93.91637
376.428,93.93065
376.66,94.11161
376.892,93.83542
377.124,93.96399
377.356,94.02589
377.588,93.99732
377.82,93.94494
378.051,94.06875
378.283,94.30208
378.515,94.27827
378.747,94.31637
378.979,93.97351
379.21,94.21637
379.442,94.05446
379.674,94.29256
379.906,94.5497
380.137,94.76875
380.369,95.06875
380.601,95.16399
380.833,95.52113
381.064,95.62113
381.296,95.99732
381.528,95.55446
381.759,96.47351
381.991,96.45923
382.222,96.65446
382.454,96.63065
382.686,96.82113
382.917,96.7497
383.149,96.53065
383.38,96.66399
383.612,96.72589
383.843,97.12589
384.075,96.82113
384.306,96.68304
384.538,96.35446
384.769,96.29256
385.001,96.32589
385.232,96.36399
385.464,96.43542
385.695,96.4497
385.927,96.7497
386.158,96.57351
386.389,96.95923
386.621,96.39256
386.852,96.27827
387.083,96.2878
387.315,96.23065
387.546,96.22589
387.777,96.43542
388.009,96.61161
